Year;Day;Date;Number_1;Number_2;Number_3;Number_4;Number_5;Bonus_Ball;Jackpot;Outcome
2026;Friday;17 April 2026;17;26;39;43;45;2;R37,000,000;Roll
2026;Tuesday;14 April 2026;2;6;16;30;31;6;R31,000,000;Roll
2026;Friday;10 April 2026;27;36;38;40;48;17;R26,000,000;Roll
2026;Tuesday;7 April 2026;16;17;18;22;41;10;R22,000,000;Roll
2026;Friday;3 April 2026;1;14;25;29;41;18;R16,000,000;Roll
2026;Tuesday;31 March 2026;5;13;15;24;43;6;R10,000,000;Roll
2026;Friday;27 March 2026;6;12;25;28;36;15;R5,000,000;Roll
2026;Tuesday;24 March 2026;11;13;19;22;39;1;R4,869,661.50;Won
2026;Friday;20 March 2026;5;8;11;17;41;2;R108,434,601.60;Won
2026;Tuesday;17 March 2026;10;13;40;47;48;5;R100,000,000;Roll
2026;Friday;13 March 2026;1;3;27;45;50;17;R93,000,000;Roll
2026;Tuesday;10 March 2026;1;5;13;20;25;14;R84,000,000;Roll
2026;Friday;6 March 2026;10;11;15;18;50;11;R75,000,000;Roll
2026;Tuesday;3 March 2026;1;9;29;38;43;15;R68,000,000;Roll
2026;Friday;27 February 2026;11;14;24;32;43;2;R61,000,000;Roll
2026;Tuesday;24 February 2026;19;23;33;34;41;9;R55,000,000;Roll
2026;Friday;20 February 2026;17;19;25;28;35;17;R50,000,000;Roll
2026;Tuesday;17 February 2026;5;15;23;24;42;5;R42,000,000;Roll
2026;Friday;13 February 2026;4;10;23;26;37;20;R37,000,000;Roll
2026;Tuesday;10 February 2026;17;23;25;39;49;11;R31,000,000;Roll
2026;Friday;6 February 2026;6;13;21;28;31;5;R26,000,000;Roll
2026;Tuesday;3 February 2026;2;11;20;40;49;2;R21,000,000;Roll
2026;Friday;30 January 2026;19;26;31;33;39;2;R15,000,000;Roll
2026;Tuesday;27 January 2026;11;13;28;43;48;3;R10,000,000;Roll
2026;Friday;23 January 2026;4;16;24;29;31;15;R5,000,000;Roll
2026;Tuesday;20 January 2026;2;3;16;17;35;5;R178,955,240.90;Won
2026;Friday;16 January 2026;8;22;36;39;47;20;R165,000,000;Roll
2026;Tuesday;13 January 2026;21;32;33;39;50;3;R156,000,000;Roll
2026;Friday;9 January 2026;11;20;35;42;50;7;R145,000,000;Roll
2026;Tuesday;6 January 2026;9;12;13;30;34;2;R135,000,000;Roll
2026;Friday;2 January 2026;17;18;35;38;39;9;R126,000,000;Roll
2025;Tuesday;30 December 2025;6;13;14;42;45;11;R118,000,000;Roll
2025;Friday;26 December 2025;18;20;35;46;48;2;R110,000,000;Roll
2025;Tuesday;23 December 2025;3;12;29;46;49;3;R103,000,000;Roll
2025;Friday;19 December 2025;2;11;15;16;30;15;R95,000,000;Roll
2025;Tuesday;16 December 2025;11;17;18;35;50;7;R89,000,000;Roll
2025;Friday;12 December 2025;17;18;30;42;50;3;R83,000,000;Roll
2025;Tuesday;9 December 2025;11;36;41;43;46;8;R77,000,000;Roll
2025;Friday;5 December 2025;12;20;27;35;46;9;R70,000,000;Roll
2025;Tuesday;2 December 2025;16;21;33;39;46;12;R63,000,000;Roll
2025;Friday;28 November 2025;3;17;28;29;34;1;R57,000,000;Roll
2025;Tuesday;25 November 2025;15;24;28;31;37;16;R51,000,000;Roll
2025;Friday;21 November 2025;1;28;39;49;50;6;R46,000,000;Roll
2025;Tuesday;18 November 2025;23;30;42;45;50;19;R41,000,000;Roll
2025;Friday;14 November 2025;16;28;32;36;48;13;R36,000,000;Roll
2025;Tuesday;11 November 2025;9;13;17;47;49;8;R31,000,000;Roll
2025;Friday;7 November 2025;7;33;40;41;49;10;R26,000,000;Roll
2025;Tuesday;4 November 2025;5;20;22;28;46;1;R20,000,000;Roll
2025;Friday;31 October 2025;19;24;25;30;49;6;R15,000,000;Roll
2025;Tuesday;28 October 2025;2;13;31;32;42;1;R10,000,000;Roll
2025;Friday;24 October 2025;15;18;24;32;44;20;R5,000,000;Roll
2025;Tuesday;21 October 2025;7;10;16;21;30;11;R163,552,190.60;Won
2025;Friday;17 October 2025;18;27;29;32;45;16;R152,449,131.36;Roll
2025;Tuesday;14 October 2025;5;25;31;40;41;20;R140,432,581.79;Roll
2025;Friday;10 October 2025;6;10;40;44;50;11;R130,599,836.88;Roll
2025;Tuesday;7 October 2025;13;18;21;23;24;16;R120,535,458.29;Roll
2025;Friday;3 October 2025;12;14;33;41;44;10;R111,052,301.71;Roll
2025;Tuesday;30 September 2025;14;22;25;37;46;4;R101,389,351.24;Roll
2025;Friday;26 September 2025;3;13;19;24;40;12;R92,151,099.05;Roll
2025;Tuesday;23 September 2025;10;23;32;43;45;18;R84,371,860;Roll
2025;Friday;19 September 2025;2;16;24;41;47;19;R77,327,031.76;Roll
2025;Tuesday;16 September 2025;22;24;26;33;35;7;R70,421,371.73;Roll
2025;Friday;12 September 2025;17;23;25;26;37;18;R64,157,390.24;Roll
2025;Tuesday;9 September 2025;21;28;40;43;45;13;R57,196,404.35;Roll
2025;Friday;5 September 2025;22;30;33;35;38;20;R51,027,875.26;Roll
2025;Tuesday;2 September 2025;20;31;33;34;50;6;R44,169,356.63;Roll
2025;Friday;29 August 2025;12;14;29;45;50;15;R37,954,435.45;Roll
2025;Tuesday;26 August 2025;13;19;24;44;50;15;R31,588,677.88;Roll
2025;Friday;22 August 2025;4;10;27;37;50;18;R26,244,913.07;Roll
2025;Tuesday;19 August 2025;2;10;22;27;40;17;R20,801,659.73;Roll
2025;Friday;15 August 2025;4;11;19;32;33;12;R15,906,361.60;Roll
2025;Tuesday;12 August 2025;8;10;20;41;48;4;R10,474,598.91;Roll
2025;Friday;8 August 2025;13;26;39;41;48;18;R5,732,993.11;Roll
2025;Tuesday;5 August 2025;10;32;34;40;48;14;R124,602,697.30;Won
2025;Friday;1 August 2025;5;31;33;34;40;13;R113,570,848.93;Roll
2025;Tuesday;29 July 2025;4;17;20;24;30;19;R102,978,317.76;Roll
2025;Friday;25 July 2025;3;29;35;39;42;5;R93,497,143.60;Roll
2025;Tuesday;22 July 2025;3;8;10;27;49;1;R84,823,734.90;Roll
2025;Friday;18 July 2025;10;15;26;31;41;5;R78,124,219.01;Roll
2025;Tuesday;15 July 2025;5;21;26;28;39;6;R71,174,882.63;Roll
2025;Friday;11 July 2025;1;7;8;15;20;15;R65,000,000;Roll
2025;Tuesday;8 July 2025;14;19;37;44;48;17;R56,728,199.73;Roll
2025;Friday;4 July 2025;15;16;22;30;32;7;R51,334,513.69;Roll
2025;Tuesday;1 July 2025;8;9;26;30;31;8;R45,797,029.17;Roll
2025;Friday;27 June 2025;11;23;32;41;47;17;R41,395,254.14;Roll
2025;Tuesday;24 June 2025;2;22;27;36;39;19;R32,454,283.04;Roll
2025;Friday;20 June 2025;22;23;25;29;42;8;R32,454,283.04;Roll
2025;Tuesday;17 June 2025;5;23;26;38;43;4;R27,759,453.39;Roll
2025;Friday;13 June 2025;1;21;34;46;47;12;R24,278,118.55;Roll
2025;Tuesday;10 June 2025;5;11;23;29;48;1;R20,002,422.86;Roll
2025;Friday;6 June 2025;9;24;34;41;44;2;R16,193,925.27;Roll
2025;Tuesday;3 June 2025;5;26;40;47;50;14;R12,127,002.75;Roll
2025;Friday;30 May 2025;10;13;34;43;46;1;R9,038,632.35;Roll
2025;Tuesday;27 May 2025;13;22;33;38;50;15;R4,122,336.47;Roll
2025;Friday;23 May 2025;1;17;18;27;49;15;R68,123,803.20;Won
2025;Tuesday;20 May 2025;13;26;31;32;47;18;R61,517,481.68;Roll
2025;Friday;16 May 2025;9;16;20;28;39;19;R56,153,697.45;Roll
2025;Tuesday;13 May 2025;11;21;29;37;39;12;R50,493,786.94;Roll
2025;Friday;9 May 2025;5;6;14;38;50;10;R45,262,605.34;Roll
2025;Tuesday;6 May 2025;19;20;32;35;37;19;R39,478,388.27;Roll
2025;Friday;2 May 2025;2;6;17;37;47;9;R33,781,651.48;Roll
2025;Tuesday;29 April 2025;5;14;32;33;45;13;R27,984,968.95;Roll
2025;Friday;25 April 2025;5;9;13;46;47;11;R23,223,991.19;Roll
2025;Tuesday;22 April 2025;18;32;33;38;43;9;R17,880,242.37;Roll
2025;Friday;18 April 2025;15;17;22;33;45;12;R13,990,312.34;Roll
2025;Tuesday;15 April 2025;19;24;38;40;41;2;R9,828,704.13;Roll
2025;Friday;11 April 2025;5;12;14;22;48;18;R5,157,546.54;Roll
2025;Tuesday;8 April 2025;1;16;23;37;42;6;R110,904,086.10;Won
