Year,Day,Date,Number_1,Number_2,Number_3,Number_4,Number_5,Number_6,Bonus_Ball,Jackpot,Outcome
2026,Saturday,18 April 2026,23,25,31,48,52,53,8,"R83,000,000",Roll
2026,Wednesday,15 April 2026,1,2,10,22,27,54,55,"R80,000,000",Roll
2026,Saturday,11 April 2026,15,41,43,45,57,58,1,"R77,000,000",Roll
2026,Wednesday,8 April 2026,2,23,40,43,48,53,55,"R74,000,000",Roll
2026,Saturday,4 April 2026,11,13,15,30,39,48,8,"R71,000,000",Roll
2026,Wednesday,1 April 2026,14,18,27,29,52,56,10,"R68,000,000",Roll
2026,Saturday,28 March 2026,6,12,26,40,41,55,17,"R65,000,000",Roll
2026,Wednesday,25 March 2026,1,12,19,28,31,52,38,"R61,000,000",Roll
2026,Saturday,21 March 2026,3,7,16,22,42,53,9,"R58,000,000",Roll
2026,Wednesday,18 March 2026,4,24,26,45,46,49,5,"R55,000,000",Roll
2026,Saturday,14 March 2026,12,22,30,32,42,58,57,"R52,000,000",Roll
2026,Wednesday,11 March 2026,2,5,49,54,56,58,46,"R50,000,000",Roll
2026,Saturday,7 March 2026,4,13,14,20,22,47,29,"R48,000,000",Roll
2026,Wednesday,4 March 2026,1,10,11,17,37,57,25,"R45,000,000",Roll
2026,Saturday,28 February 2026,2,7,15,33,38,48,5,"R42,000,000",Roll
2026,Wednesday,25 February 2026,7,11,12,32,38,55,20,"R39,000,000",Roll
2026,Saturday,21 February 2026,2,8,39,43,45,55,6,"R36,000,000",Roll
2026,Wednesday,18 February 2026,6,13,22,36,50,56,28,"R34,000,000",Roll
2026,Saturday,14 February 2026,6,10,18,32,37,46,53,"R31,000,000",Roll
2026,Wednesday,11 February 2026,14,16,22,24,29,35,3,"R29,000,000",Roll
2026,Saturday,7 February 2026,1,3,12,21,48,51,30,"R26,000,000",Roll
2026,Wednesday,4 February 2026,3,17,20,26,51,53,22,"R24,000,000",Roll
2026,Saturday,31 January 2026,15,32,36,39,40,48,28,"R21,000,000",Roll
2026,Wednesday,28 January 2026,9,18,19,36,37,49,50,"R18,000,000",Roll
2026,Saturday,24 January 2026,7,23,28,37,50,58,19,"R15,000,000",Roll
2026,Wednesday,21 January 2026,9,18,32,35,54,56,2,"R13,000,000",Roll
2026,Saturday,17 January 2026,24,32,38,49,55,58,51,"R11,000,000",Roll
2026,Wednesday,14 January 2026,16,34,36,43,56,57,55,"R9,000,000",Roll
2026,Saturday,10 January 2026,7,18,29,36,51,58,40,"R7,000,000",Roll
2026,Wednesday,7 January 2026,4,6,29,44,49,57,2,"R5,000,000",Roll
2026,Saturday,3 January 2026,1,24,33,34,45,55,37,"R65,000,000",Roll
2025,Wednesday,31 December 2025,4,5,10,16,22,45,25,"R65,186,997.40",Won
2025,Saturday,27 December 2025,8,11,24,32,43,45,41,"R61,000,000",Roll
2025,Wednesday,24 December 2025,7,12,20,39,43,56,34,"R58,000,000",Roll
2025,Saturday,20 December 2025,5,40,47,49,53,54,29,"R55,000,000",Roll
2025,Wednesday,17 December 2025,1,6,12,26,40,54,38,"R52,000,000",Roll
2025,Saturday,13 December 2025,9,18,30,53,54,58,8,"R50,000,000",Roll
2025,Wednesday,10 December 2025,10,13,14,22,32,48,57,"R47,000,000",Roll
2025,Saturday,6 December 2025,4,6,13,15,29,35,20,"R45,000,000",Roll
2025,Wednesday,3 December 2025,1,8,29,32,42,53,45,"R42,000,000",Roll
2025,Saturday,29 November 2025,8,18,22,46,54,58,51,"R40,000,000",Roll
2025,Wednesday,26 November 2025,4,8,25,32,33,36,22,"R36,000,000",Roll
2025,Saturday,22 November 2025,4,5,6,15,39,50,28,"R34,000,000",Roll
2025,Wednesday,19 November 2025,14,19,21,26,56,58,37,"R31,000,000",Roll
2025,Saturday,15 November 2025,13,31,33,43,46,53,20,"R29,000,000",Roll
2025,Wednesday,12 November 2025,9,16,20,39,44,56,47,"R27,000,000",Roll
2025,Saturday,8 November 2025,9,10,19,38,52,55,7,"R24,000,000",Roll
2025,Wednesday,5 November 2025,9,13,33,51,55,58,19,"R22,000,000",Roll
2025,Saturday,1 November 2025,1,12,21,24,49,56,44,"R19,000,000",Roll
2025,Wednesday,29 October 2025,2,10,22,43,45,53,6,"R16,000,000",Roll
2025,Saturday,25 October 2025,7,27,39,45,48,56,36,"R13,000,000",Roll
2025,Wednesday,22 October 2025,8,17,31,40,44,53,48,"R11,000,000",Roll
2025,Saturday,18 October 2025,5,27,33,37,41,58,18,"R9,000,000",Roll
2025,Wednesday,15 October 2025,16,17,20,27,49,51,57,"R7,000,000",Roll
2025,Saturday,11 October 2025,23,24,27,33,36,58,18,"R5,000,000",Roll
2025,Wednesday,8 October 2025,7,11,29,35,46,56,26,"R3,000,000",Roll
2025,Saturday,4 October 2025,4,8,36,41,43,57,45,"R9,733,667.60",Won
2025,Wednesday,1 October 2025,5,12,14,20,28,30,16,"R7,000,000",Roll
2025,Saturday,27 September 2025,7,12,14,32,37,52,5,"R5,000,000",Roll
2025,Wednesday,24 September 2025,16,23,32,42,49,58,55,"R3,000,000",Roll
2025,Saturday,20 September 2025,4,5,14,21,34,52,46,"R18,126,715.40",Won
2025,Wednesday,17 September 2025,12,18,23,27,38,52,48,"R15,480,163.73",Roll
2025,Saturday,13 September 2025,12,20,21,22,28,33,42,"R13,271,780.50",Roll
2025,Wednesday,10 September 2025,19,26,28,35,37,46,3,"R10,775,910.50",Roll
2025,Saturday,6 September 2025,3,12,28,39,41,50,42,"R8,642,192.59",Roll
2025,Wednesday,3 September 2025,17,25,26,30,44,48,38,"R5,713,581.51",Roll
2025,Saturday,30 August 2025,8,25,29,36,46,51,20,"R3,050,172.68",Roll
2025,Wednesday,27 August 2025,3,11,17,28,44,52,48,"R41,541,454.50",Won
2025,Saturday,23 August 2025,10,14,22,31,32,49,39,"R38,585,451.80",Roll
2025,Wednesday,20 August 2025,2,14,16,19,41,43,45,"R35,820,495.22",Roll
2025,Saturday,16 August 2025,2,15,17,22,23,50,19,"R32,995,804.93",Roll
2025,Wednesday,13 August 2025,2,4,19,34,38,50,49,"R29,647,323.40",Roll
2025,Saturday,9 August 2025,4,15,38,39,41,51,33,"R26,780,347.50",Roll
2025,Wednesday,6 August 2025,3,5,18,26,31,49,22,"R23,233,926.10",Roll
2025,Saturday,2 August 2025,6,16,25,30,50,51,35,"R20,178,252.86",Roll
2025,Wednesday,30 July 2025,6,27,29,34,47,50,15,"R16,601,914.79",Roll
2025,Saturday,26 July 2025,12,16,20,22,27,52,21,"R13,691,859.40",Roll
2025,Wednesday,23 July 2025,5,8,15,17,40,52,4,"R10,380,625.75",Roll
2025,Saturday,19 July 2025,2,8,11,13,36,46,30,"R8,041,144.01",Roll
2025,Wednesday,16 July 2025,8,10,27,44,45,48,26,"R5,164,226.78",Roll
2025,Saturday,12 July 2025,5,6,7,15,30,34,2,"R2,536,651.09",Roll
2025,Wednesday,9 July 2025,1,8,12,13,31,35,49,"R8,356,457.60",Won
2025,Saturday,5 July 2025,8,14,29,30,49,52,23,"R5,753,261.36",Roll
2025,Wednesday,2 July 2025,8,11,26,35,44,45,41,"R2,569,945.45",Roll
2025,Saturday,28 June 2025,1,13,18,20,47,50,27,"R8,952,821.60",Won
2025,Wednesday,25 June 2025,16,17,18,41,45,46,5,"R5,837,261.49",Roll
2025,Saturday,21 June 2025,1,28,32,39,41,48,4,"R3,063,807.89",Roll
2025,Wednesday,18 June 2025,10,13,27,30,38,39,16,"R78,977,677.80",Won
2025,Saturday,14 June 2025,5,8,17,18,29,35,50,"R75,209,363.68",Roll
2025,Wednesday,11 June 2025,16,32,35,38,43,46,50,"R71,237,865.84",Roll
2025,Saturday,7 June 2025,1,16,36,40,42,50,6,"R67,516,969.15",Roll
2025,Wednesday,4 June 2025,8,24,32,34,36,52,26,"R63,481,569.30",Roll
2025,Saturday,31 May 2025,8,19,26,31,46,49,4,"R58,421,876.81",Roll
2025,Wednesday,28 May 2025,1,2,3,18,29,32,14,"R54,066,553.36",Roll
2025,Saturday,24 May 2025,3,7,29,33,37,46,43,"R50,728,897.73",Roll
2025,Wednesday,21 May 2025,6,17,25,29,38,46,20,"R46,950,880.01",Roll
2025,Saturday,17 May 2025,12,28,29,38,46,49,25,"R44,175,236.05",Roll
2025,Wednesday,14 May 2025,9,18,19,30,31,40,28,"R40,698,290.21",Roll
2025,Saturday,10 May 2025,3,13,18,24,30,31,25,"R37,953,568.50",Roll
2025,Wednesday,7 May 2025,9,10,27,30,31,45,23,"R34,750,673.25",Roll
2025,Saturday,3 May 2025,4,5,7,10,11,41,2,"R31,653,146.37",Roll
2025,Wednesday,30 April 2025,8,19,20,31,45,52,3,"R28,916,910.18",Roll
2025,Saturday,26 April 2025,18,20,28,30,31,36,49,"R25,781,422.76",Roll
2025,Wednesday,23 April 2025,1,5,22,31,34,44,33,"R22,337,141.32",Roll
2025,Saturday,19 April 2025,6,9,11,33,38,52,32,"R19,859,182.60",Roll
2025,Wednesday,16 April 2025,9,16,20,23,26,51,29,"R17,120,071.13",Roll
2025,Saturday,12 April 2025,3,9,16,17,31,48,36,"R14,491,946.48",Roll
